时段,应用,描述,时长,分类
01/25/2025 22:00:00,msedge,Microsoft Edge,151,未知
01/25/2025 22:00:00,firefox,Firefox,394,未知
01/25/2025 22:00:00,Listary,Listary,1,未知
01/25/2025 22:00:00,IDMan,Internet Download Manager (IDM),33,未知
01/25/2025 22:00:00,netplus,NetPlus 客户端,2,未知
01/25/2025 22:00:00,Bandizip,Bandizip,3,未知
01/25/2025 22:00:00,explorer,Windows 资源管理器,20,未知
01/25/2025 22:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,3,未知
01/25/2025 22:00:00,QQ,QQ,3,未知
01/25/2025 22:00:00,DesktopMgr64,桌面整理-主程序,1,未知
01/26/2025 13:00:00,QQ,QQ,111,未知
01/26/2025 13:00:00,explorer,Windows 资源管理器,353,未知
01/26/2025 13:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,4,未知
01/26/2025 13:00:00,Listary,Listary,5,未知
01/26/2025 13:00:00,PotPlayerMini64,PotPlayer,562,未知
01/26/2025 13:00:00,PDFReader,SumatraPDF,5,未知
01/26/2025 13:00:00,DesktopMgr64,桌面整理-主程序,3,未知
01/26/2025 13:00:00,firefox,Firefox,848,未知
01/26/2025 13:00:00,BitComet,BitComet - a BitTorrent Client,392,未知
01/26/2025 13:00:00,IDMan,Internet Download Manager (IDM),20,未知
01/26/2025 14:00:00,PotPlayerMini64,PotPlayer,1135,未知
01/26/2025 14:00:00,BitComet,BitComet - a BitTorrent Client,579,未知
01/26/2025 14:00:00,firefox,Firefox,1677,未知
01/26/2025 14:00:00,QQ,QQ,8,未知
01/26/2025 14:00:00,explorer,Windows 资源管理器,30,未知
01/26/2025 14:00:00,steam,Steam,3,未知
01/26/2025 14:00:00,steamwebhelper,Steam Client WebHelper,62,未知
01/26/2025 14:00:00,IDMan,Internet Download Manager (IDM),6,未知
01/26/2025 15:00:00,PotPlayerMini64,PotPlayer,3192,未知
01/26/2025 15:00:00,BitComet,BitComet - a BitTorrent Client,210,未知
01/26/2025 15:00:00,BitCometToastsNotifier,BitComet toasts notifier for Windows 10,7,未知
01/26/2025 15:00:00,QQ,QQ,26,未知
01/26/2025 15:00:00,explorer,Windows 资源管理器,31,未知
01/26/2025 15:00:00,firefox,Firefox,6,未知
01/26/2025 15:00:00,IDMan,Internet Download Manager (IDM),28,未知
01/26/2025 15:00:00,DesktopMgr64,桌面整理-主程序,3,未知
01/26/2025 16:00:00,PotPlayerMini64,PotPlayer,3549,未知
01/26/2025 16:00:00,BitComet,BitComet - a BitTorrent Client,33,未知
01/26/2025 17:00:00,PotPlayerMini64,PotPlayer,2788,未知
01/26/2025 17:00:00,explorer,Windows 资源管理器,143,未知
01/26/2025 17:00:00,Bandizip,Bandizip,14,未知
01/26/2025 17:00:00,Imagine64,Image & Animation Viewer,21,未知
01/26/2025 17:00:00,fontview,Windows 字体查看器,13,未知
01/26/2025 17:00:00,firefox,Firefox,538,未知
01/26/2025 18:00:00,firefox,Firefox,893,未知
01/26/2025 18:00:00,DesktopMgr64,桌面整理-主程序,15,未知
01/26/2025 18:00:00,Listary,Listary,15,未知
01/26/2025 18:00:00,explorer,Windows 资源管理器,20,未知
01/26/2025 18:00:00,Notepads,,1,未知
01/26/2025 18:00:00,PVZ-Rouge,,2252,未知
01/26/2025 18:00:00,Imagine64,Image & Animation Viewer,4,未知
01/26/2025 18:00:00,steamwebhelper,Steam Client WebHelper,290,未知
01/26/2025 18:00:00,Falemon,falemon,18,未知
01/26/2025 19:00:00,firefox,Firefox,1214,未知
01/26/2025 19:00:00,steamwebhelper,Steam Client WebHelper,753,未知
01/26/2025 19:00:00,Falemon,falemon,6,未知
01/26/2025 19:00:00,download-bacon-may-die-0.1.1-installer_9FF-yn1.tmp,Setup/Uninstall,45,未知
01/26/2025 19:00:00,HipsTray,火绒安全软件托盘程序,9,未知
01/26/2025 19:00:00,cookie_mmm_irs_ppi_005_888_a,Avast Antivirus Installer,3,未知
01/26/2025 19:00:00,explorer,Windows 资源管理器,9,未知
01/26/2025 19:00:00,SearchApp,Search application,2,未知
01/26/2025 19:00:00,Listary,Listary,30,未知
01/26/2025 19:00:00,DesktopMgr64,桌面整理-主程序,1,未知
01/26/2025 19:00:00,Eraser,,183,未知
01/26/2025 19:00:00,Bacon,,460,未知
01/26/2025 19:00:00,Mini Thief,,199,未知
01/26/2025 20:00:00,firefox,Firefox,2778,未知
01/26/2025 20:00:00,firefox,Firefox,170,未知
01/26/2025 20:00:00,QQ,QQ,8,未知
01/26/2025 20:00:00,steamwebhelper,Steam Client WebHelper,10,未知
01/26/2025 20:00:00,explorer,Windows 资源管理器,1,未知
01/26/2025 20:00:00,DesktopMgr64,桌面整理-主程序,291,未知
01/26/2025 20:00:00,Bacon,,229,未知
01/26/2025 21:00:00,Bacon,,91,未知
01/26/2025 21:00:00,DesktopMgr64,桌面整理-主程序,41,未知
01/26/2025 21:00:00,QQ,QQ,4,未知
01/26/2025 21:00:00,图吧工具箱2024,图吧工具箱主程序,20,未知
01/26/2025 21:00:00,explorer,Windows 资源管理器,15,未知
01/26/2025 21:00:00,netplus,NetPlus 客户端,1,未知
01/26/2025 21:00:00,HipsTray,火绒安全软件托盘程序,2,未知
01/26/2025 22:00:00,AbletonAudioCpl,USB Audio Class Driver Control Panel,1,未知
01/26/2025 22:00:00,QQ,QQ,1450,未知
01/26/2025 22:00:00,netplus,NetPlus 客户端,458,未知
01/26/2025 22:00:00,msedge,Microsoft Edge,803,未知
01/26/2025 22:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,646,未知
01/26/2025 22:00:00,explorer,Windows 资源管理器,14,未知
01/26/2025 22:00:00,RvRvpnGui,Radmin VPN,1,未知
01/26/2025 22:00:00,DesktopMgr64,桌面整理-主程序,3,未知
01/26/2025 23:00:00,msedge,Microsoft Edge,2163,未知
01/26/2025 23:00:00,explorer,Windows 资源管理器,6,未知
01/27/2025 00:00:00,DesktopMgr64,桌面整理-主程序,4,未知
01/27/2025 00:00:00,QQ,QQ,1,未知
01/27/2025 14:00:00,QQ,QQ,97,未知
01/27/2025 14:00:00,DesktopMgr64,桌面整理-主程序,221,未知
01/27/2025 14:00:00,explorer,Windows 资源管理器,290,未知
01/27/2025 14:00:00,Listary,Listary,22,未知
01/27/2025 14:00:00,RvRvpnGui,Radmin VPN,117,未知
01/27/2025 14:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,382,未知
01/27/2025 14:00:00,firefox,Firefox,252,未知
01/27/2025 14:00:00,IDMan,Internet Download Manager (IDM),24,未知
01/27/2025 14:00:00,SearchApp,Search application,3,未知
01/27/2025 14:00:00,BitComet,BitComet - a BitTorrent Client,61,未知
01/27/2025 14:00:00,Falemon,falemon,71,未知
01/27/2025 14:00:00,HRUpdate,火绒安全软件升级程序,9,未知
01/27/2025 14:00:00,javaw,Java(TM) Platform SE binary,1657,未知
01/27/2025 14:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,5,未知
01/27/2025 15:00:00,javaw,Java(TM) Platform SE binary,1340,未知
01/27/2025 15:00:00,Plain Craft Launcher 2,Plain Craft Launcher 启动器,150,未知
01/27/2025 15:00:00,msedge,Microsoft Edge,100,未知
01/27/2025 15:00:00,Falemon,falemon,2,未知
01/27/2025 15:00:00,firefox,Firefox,126,未知
01/27/2025 15:00:00,QQ,QQ,11,未知
01/27/2025 15:00:00,BitComet,BitComet - a BitTorrent Client,8,未知
01/27/2025 15:00:00,explorer,Windows 资源管理器,11,未知
01/27/2025 15:00:00,cmd,Windows 命令处理程序,1,未知
01/27/2025 15:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,3,未知
01/27/2025 15:00:00,DesktopMgr64,桌面整理-主程序,2,未知
01/28/2025 19:00:00,PowerToys.PowerLauncher,PowerToys.Run,11,未知
01/28/2025 19:00:00,DesktopMgr64,桌面整理-主程序,6,未知
01/28/2025 20:00:00,Listary,Listary,81,未知
01/28/2025 20:00:00,QQ,QQ,7,未知
01/28/2025 20:00:00,AbletonAudioCpl,USB Audio Class Driver Control Panel,6,未知
01/28/2025 20:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,26,未知
01/28/2025 20:00:00,gameinputsvc,GameInput Host Service,2,未知
01/28/2025 20:00:00,HipsTray,火绒安全软件托盘程序,1,未知
01/28/2025 20:00:00,explorer,Windows 资源管理器,870,未知
01/28/2025 20:00:00,BitComet,BitComet - a BitTorrent Client,69,未知
01/28/2025 20:00:00,firefox,Firefox,192,未知
01/28/2025 20:00:00,IDMan,Internet Download Manager (IDM),1,未知
01/28/2025 20:00:00,DisableSleep_2,,468,未知
01/28/2025 20:00:00,BitCometToastsNotifier,BitComet toasts notifier for Windows 10,302,未知
01/29/2025 00:00:00,DisableSleep_2,,3,未知
01/29/2025 00:00:00,explorer,Windows 资源管理器,399,未知
01/29/2025 00:00:00,BitComet,BitComet - a BitTorrent Client,36,未知
01/29/2025 00:00:00,HipsTray,火绒安全软件托盘程序,2,未知
01/29/2025 00:00:00,QQ,QQ,7,未知
01/29/2025 00:00:00,DesktopMgr64,桌面整理-主程序,7,未知
01/29/2025 00:00:00,Imagine64,Image & Animation Viewer,3,未知
02/06/2025 16:00:00,NVIDIA Notification,NVIDIA Notification,6,未知
02/06/2025 16:00:00,AbletonAudioCpl,USB Audio Class Driver Control Panel,1,未知
02/06/2025 16:00:00,QQ,QQ,43,未知
02/06/2025 16:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,350,未知
02/06/2025 16:00:00,HipsTray,火绒安全软件托盘程序,3,未知
02/06/2025 16:00:00,DesktopMgr64,桌面整理-主程序,306,未知
02/06/2025 16:00:00,explorer,Windows 资源管理器,341,未知
02/06/2025 16:00:00,mmc,Microsoft 管理控制台,65,未知
02/06/2025 16:00:00,firefox,Firefox,186,未知
02/06/2025 16:00:00,HRUpdate,火绒安全软件升级程序,5,未知
02/06/2025 17:00:00,DesktopMgr64,桌面整理-主程序,209,未知
02/06/2025 18:00:00,explorer,Windows 资源管理器,1,未知
02/06/2025 18:00:00,QQ,QQ,8,未知
02/06/2025 19:00:00,AbletonAudioCpl,USB Audio Class Driver Control Panel,8,未知
02/06/2025 19:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,199,未知
02/06/2025 19:00:00,RtkNGUI64,Realtek高清晰音频管理器,66,未知
02/06/2025 19:00:00,DesktopMgr64,桌面整理-主程序,6,未知
02/06/2025 19:00:00,QQ,QQ,252,未知
02/06/2025 19:00:00,firefox,Firefox,2124,未知
02/06/2025 19:00:00,explorer,Windows 资源管理器,109,未知
02/06/2025 19:00:00,Listary,Listary,18,未知
02/06/2025 19:00:00,Imagine64,Image & Animation Viewer,3,未知
02/06/2025 19:00:00,IDMan,Internet Download Manager (IDM),63,未知
02/06/2025 20:00:00,firefox,Firefox,2815,未知
02/06/2025 20:00:00,IDMan,Internet Download Manager (IDM),118,未知
02/06/2025 20:00:00,QQ,QQ,607,未知
02/06/2025 20:00:00,Listary,Listary,10,未知
02/06/2025 20:00:00,Bandizip,Bandizip,7,未知
02/06/2025 20:00:00,DesktopMgr64,桌面整理-主程序,8,未知
02/06/2025 20:00:00,explorer,Windows 资源管理器,41,未知
02/06/2025 20:00:00,SystemSettings,设置,4,未知
02/06/2025 20:00:00,IDM1.tmp,Internet Download Manager installer,9,未知
02/06/2025 20:00:00,IDM_6.4x_Crack_v19.7,,1,未知
02/06/2025 20:00:00,HipsTray,火绒安全软件托盘程序,1,未知
02/06/2025 20:00:00,KwMusic,酷我音乐,391,未知
02/06/2025 20:00:00,MusicTag,Music Tag,24,未知
02/06/2025 20:00:00,Notepads,,1,未知
02/06/2025 21:00:00,KwMusic,酷我音乐,2084,未知
02/06/2025 21:00:00,firefox,Firefox,512,未知
02/06/2025 21:00:00,explorer,Windows 资源管理器,12,未知
02/06/2025 21:00:00,PotPlayerMini64,PotPlayer,960,未知
02/06/2025 22:00:00,PotPlayerMini64,PotPlayer,70,未知
02/06/2025 22:00:00,firefox,Firefox,2223,未知
02/08/2025 16:00:00,PowerToys.FancyZones,PowerToys.FancyZones,10,未知
02/08/2025 16:00:00,PowerToys.PowerLauncher,PowerToys.Run,7,未知
02/08/2025 16:00:00,DesktopMgr64,桌面整理-主程序,15,未知
02/08/2025 16:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,1,未知
02/08/2025 16:00:00,Lively,Lively,5,未知
02/08/2025 16:00:00,QQ,QQ,484,未知
02/08/2025 16:00:00,explorer,Windows 资源管理器,373,未知
02/08/2025 16:00:00,Listary,Listary,55,未知
02/08/2025 16:00:00,Imagine64,Image & Animation Viewer,3,未知
02/08/2025 16:00:00,cmd,Windows 命令处理程序,1,未知
02/08/2025 16:00:00,firefox,Firefox,1469,未知
02/08/2025 16:00:00,HRUpdate,火绒安全软件升级程序,267,未知
02/08/2025 16:00:00,RtkNGUI64,Realtek高清晰音频管理器,4,未知
02/08/2025 17:00:00,firefox,Firefox,2893,未知
02/08/2025 17:00:00,explorer,Windows 资源管理器,11,未知
02/08/2025 17:00:00,QQ,QQ,7,未知
02/08/2025 17:00:00,RtkNGUI64,Realtek高清晰音频管理器,1,未知
02/08/2025 17:00:00,DesktopMgr64,桌面整理-主程序,4,未知
02/08/2025 17:00:00,SearchApp,Search application,2,未知
02/08/2025 17:00:00,steam,Steam,3,未知
02/08/2025 17:00:00,Falemon,falemon,125,未知
02/08/2025 17:00:00,steamwebhelper,Steam Client WebHelper,419,未知
02/08/2025 18:00:00,firefox,Firefox,1056,未知
02/08/2025 18:00:00,explorer,Windows 资源管理器,1,未知
02/10/2025 19:00:00,DesktopMgr64,桌面整理-主程序,11,未知
02/10/2025 19:00:00,Listary,Listary,17,未知
02/10/2025 19:00:00,QQ,QQ,146,未知
02/10/2025 19:00:00,AbletonAudioCpl,USB Audio Class Driver Control Panel,1,未知
02/10/2025 19:00:00,Lively,Lively,2,未知
02/10/2025 19:00:00,NatGo 端口映射 1.2.3,NatGo 端口映射,3,未知
02/10/2025 19:00:00,explorer,Windows 资源管理器,846,未知
02/10/2025 19:00:00,图吧工具箱2024,图吧工具箱主程序,16,未知
02/10/2025 19:00:00,DiskInfo64S,CrystalDiskInfo Shizuku Edition,95,未知
02/10/2025 19:00:00,DiskMark64S,CrystalDiskMark Shizuku Edition,107,未知
02/10/2025 19:00:00,DiskGenius,DiskGenius 磁盘分区及数据恢复软件,144,未知
02/10/2025 19:00:00,Imagine64,Image & Animation Viewer,5,未知
02/10/2025 19:00:00,SearchApp,Search application,5,未知
02/10/2025 19:00:00,BitComet,BitComet - a BitTorrent Client,5,未知
02/10/2025 19:00:00,HRUpdate,火绒安全软件升级程序,4,未知
02/10/2025 19:00:00,firefox,Firefox,225,未知
02/10/2025 19:00:00,HipsTray,火绒安全软件托盘程序,1,未知
02/10/2025 19:00:00,Falemon,falemon,28,未知
02/10/2025 19:00:00,msedge,Microsoft Edge,260,未知
02/10/2025 19:00:00,SystemSettings,设置,21,未知
02/10/2025 19:00:00,MicrosoftEdgeUpdate,Microsoft Edge Update,16,未知
